iter	Passed	Remaining
401	13901	20679
402	13934	20641
403	13967	20605
404	14005	20575
405	14037	20537
406	14071	20502
407	14105	20467
408	14138	20429
409	14170	20391
410	14207	20360
411	14241	20324
412	14273	20286
413	14305	20248
414	14338	20212
415	14374	20179
416	14414	20152
417	14450	20120
418	14488	20089
419	14524	20057
420	14564	20030
421	14598	19995
422	14631	19958
423	14665	19922
424	14696	19883
425	14728	19845
426	14768	19817
427	14802	19782
428	14836	19747
429	14869	19711
430	14903	19675
431	14936	19638
432	14970	19604
433	15005	19569
434	15041	19536
435	15075	19500
436	15108	19464
437	15146	19434
438	15178	19396
439	15210	19359
440	15241	19319
441	15273	19281
442	15306	19245
443	15341	19210
444	15374	19174
445	15407	19138
446	15441	19102
447	15473	19066
448	15507	19029
449	15543	18997
450	15581	18967
451	15618	18935
452	15655	18904
453	15693	18873
454	15727	18838
455	15758	18799
456	15793	18765
457	15827	18729
458	15860	18694
459	15894	18658
460	15930	18625
461	15963	18590
462	15997	18554
463	16033	18521
464	16065	18484
465	16099	18448
466	16133	18413
467	16165	18376
468	16198	18339
469	16234	18307
470	16266	18269
471	16299	18232
472	16332	18197
473	16365	18160
474	16398	18124
475	16430	18087
476	16463	18051
477	16502	18021
478	16534	17984
479	16566	17946
480	16599	17911
481	16631	17874
482	16665	17838
483	16701	17805
484	16736	17771
485	16777	17744
486	16813	17711
487	16851	17680
488	16886	17646
489	16920	17611
490	16954	17575
491	16987	17539
492	17020	17503
493	17055	17469
494	17095	17440
495	17131	17408
496	17166	17374
497	17200	17338
498	17234	17303
499	17267	17267
500	17301	17232
501	17336	17197
502	17369	17162
503	17402	17126
504	17440	17095
505	17481	17066
506	17519	17035
507	17556	17003
508	17588	16966
509	17619	16928
510	17652	16892
511	17687	16858
512	17719	16821
513	17754	16787
514	17785	16749
515	17819	16714
516	17851	16677
517	17884	16641
518	17923	16611
519	17963	16581
520	17999	16548
521	18039	16518
522	18074	16485
523	18109	16450
524	18141	16413
525	18174	16377
526	18212	16345
527	18245	16310
528	18276	16272
529	18310	16237
530	18344	16202
531	18375	16164
532	18406	16127
533	18441	16093
534	18474	16057
535	18509	16023
536	18541	15986
537	18576	15951
538	18610	15917
539	18645	15883
540	18680	15848
541	18714	15813
542	18745	15776
543	18780	15742
544	18815	15708
545	18848	15672
546	18883	15638
547	18918	15604
