iter	MultiClass
493	1.027410483
494	1.026903079
495	1.026391638
496	1.025895734
497	1.025097384
498	1.02465929
499	1.024296881
500	1.023575849
501	1.022838597
502	1.022301985
503	1.022110154
504	1.021287985
505	1.020445689
506	1.019802949
507	1.019047249
508	1.018386499
509	1.018103374
510	1.017868292
511	1.017042807
512	1.016613602
513	1.01577013
514	1.015322885
515	1.014676577
516	1.014149622
517	1.013600292
518	1.01275268
519	1.012541271
520	1.012089688
521	1.011345633
522	1.0110729
523	1.010801335
524	1.010178521
525	1.009796175
526	1.00896717
527	1.008657276
528	1.00840348
529	1.007891263
530	1.007404337
531	1.006919436
532	1.006718148
533	1.006203937
534	1.005734188
535	1.005115691
536	1.004857436
537	1.004258342
538	1.003620041
539	1.002854374
540	1.002232314
541	1.001917602
542	1.001609502
543	1.001168335
544	1.000729284
545	1.000274636
546	0.9999081864
547	0.9991666393
548	0.9987556187
549	0.9970256057
550	0.9967371798
551	0.996330335
552	0.9951401973
553	0.9942075785
554	0.9938163244
555	0.9934250171
556	0.9929487477
557	0.9926278888
558	0.992160628
559	0.9919102822
560	0.9915230659
561	0.9911752304
562	0.9907655383
563	0.990303176
564	0.9900358773
565	0.9895447714
566	0.9888171777
567	0.9884748781
568	0.9879615858
569	0.9876011724
570	0.9870916329
571	0.9867764111
572	0.9865191128
573	0.9854695581
574	0.9848382493
575	0.9842647593
576	0.9827651082
577	0.982354039
578	0.9818620733
579	0.9814925709
580	0.9811677796
581	0.9809277985
582	0.9804819933
583	0.9801005502
584	0.979905955
585	0.979360397
586	0.9787426065
587	0.9781606095
588	0.9778375412
589	0.977292612
590	0.9768553205
591	0.9761688147
592	0.9756942021
593	0.9754695934
594	0.9748006279
595	0.974160957
596	0.9733862032
597	0.972839861
598	0.9724394243
599	0.9721776083
600	0.9718787726
601	0.9717080776
602	0.9712943059
603	0.9708944275
604	0.970523726
605	0.9699875187
606	0.9696838341
607	0.9690225479
608	0.9686330789
609	0.9682397987
610	0.9679083237
611	0.9667696146
612	0.9664146918
613	0.965974156
614	0.9655630936
615	0.9653313633
616	0.9644374383
617	0.9638213413
618	0.9633865042
619	0.9628063003
620	0.9624117035
621	0.9621576085
622	0.9615462048
623	0.9611548758
624	0.9606991361
625	0.9603206264
626	0.9598944862
627	0.9597800608
628	0.9593532718
629	0.95909727
630	0.9586086358
631	0.9582149449
632	0.9578445304
633	0.9574124247
634	0.9571466138
635	0.9566197279
636	0.9557074175
637	0.9551957862
638	0.9547997199
639	0.9545733095
640	0.9543812354
641	0.9541009012
642	0.9537953002
643	0.9532851177
644	0.9529667764
645	0.9525255228
646	0.9522752138
647	0.9516670349
648	0.9513200909
649	0.9511275322
650	0.9500724115
651	0.9493301844
652	0.9487556534
653	0.948412227
654	0.9478056148
655	0.9470999888
656	0.946775645
657	0.94603429
658	0.9457107287
659	0.9453425504
660	0.9448428521
661	0.9445481577
662	0.9439017272
663	0.9433376378
664	0.9426899613
665	0.94203737
666	0.9415875029
667	0.9411870052
668	0.9409169265
669	0.940672988
670	0.940055171
671	0.9395784869
672	0.9391397936
673	0.9386690953
674	0.9383108024
675	0.9376740678
676	0.9372440105
677	0.9370022334
678	0.9357044876
679	0.9352245876
680	0.934917828
681	0.9346364426
682	0.93385489
683	0.9335175717
684	0.9326314221
685	0.9321110377
686	0.9315493728
687	0.9312976897
688	0.930710772
689	0.9299017586
690	0.9297806842
691	0.9294895956
692	0.9289027055
693	0.9283062278
694	0.9280584006
695	0.927531438
696	0.9268351674
697	0.926000157
698	0.9257247947
699	0.9253724957
700	0.9245903965
701	0.9240694024
702	0.9235314891
703	0.9232859532
704	0.9229038362
705	0.9224460019
706	0.9220856627
707	0.9215039672
708	0.921126784
709	0.9209551862
710	0.9204804525
711	0.9201538385
712	0.9198072556
713	0.9196012868
714	0.9187667551
715	0.918271296
716	0.9176722513
717	0.9172900517
718	0.916948985
719	0.9163481418
720	0.9157899546
721	0.9154424041
722	0.9151804001
723	0.915040858
724	0.9146751163
725	0.9144624607
726	0.9140939572
727	0.913895244
728	0.9135514055
729	0.9131131779
730	0.9127219103
731	0.9122896769
732	0.9115485478
733	0.9112191571
734	0.9110391968
735	0.9107049991
736	0.9105522489
737	0.9102226356
738	0.909910732
739	0.9097026563
740	0.9094895842
741	0.9090576096
742	0.9087603253
743	0.9084331497
744	0.9082517693
745	0.9078111789
746	0.9075672967
747	0.907151728
748	0.9069669673
749	0.9067659761
750	0.9061368918
751	0.905786274
752	0.9055118525
753	0.9051036689
754	0.90496913
755	0.9047142999
756	0.9042910503
757	0.9039515665
758	0.9034449236
759	0.9031248727
760	0.9027558049
761	0.9024141653
762	0.9020508562
763	0.9016094984
764	0.9013368716
765	0.9008255627
766	0.9003808424
767	0.8998754144
768	0.8996875225
769	0.8992777915
770	0.8988966931
771	0.8985099785
772	0.898029259
773	0.8974663458
774	0.8971504718
775	0.8968010768
776	0.8966431377
777	0.8964906545
778	0.895968253
779	0.8956067044
780	0.8952689486
781	0.8950885524
782	0.8946376227
783	0.8943414602
784	0.8941301684
785	0.8936464586
786	0.8932471539
787	0.892858447
788	0.8924690939
789	0.8922075077
790	0.8915299332
791	0.8912813113
792	0.8909566006
793	0.8905470849
794	0.8901592282
795	0.8897562724
796	0.8893911477
797	0.8889015606
798	0.8886610132
799	0.8881188419
800	0.8876489013
